,0.0,0.05,0.1,0.2,0.3,0.5,1.0
0.0,0.8669735631971929,0.8934529757635016,0.8928576970566255,0.88887902477219,0.884186605624371,0.8777524269063864,0.8699018789572288
0.025,0.939188745672763,0.9389920419304587,0.9372086559488989,0.9327121253485374,0.9185805126583131,0.9083458918784297,0.896495014561724
0.05,0.9507127743588701,0.9504958095947084,0.9499688665912718,0.9471979246466594,0.9443115225301754,0.9367467493999354,0.9155478689980121
0.075,0.9584511310537717,0.9586093094689596,0.9585866307480893,0.956941000016344,0.9546761001665345,0.9503345377470377,0.9363027397689465
0.1,0.9634249554625346,0.9642701278807114,0.9636554619704117,0.9631568906786091,0.9620201964126295,0.9588042981059228,0.9513182158567666
0.15,0.9685169946981012,0.9694040354429012,0.9697082489382469,0.9696690198882055,0.9694652955478027,0.9680457524387243,0.9649360809724767
0.2,0.9705751946920115,0.9715143574317907,0.9717162457677699,0.9714196963734189,0.9719493591280669,0.971742229059578,0.970626879712889
0.3,0.9722414570091183,0.9731791346310519,0.9732963027139336,0.9735549553728795,0.9731797479149568,0.9736631494347101,0.9736530135416375
0.5,0.973491289590159,0.9743865707871241,0.9745001227458765,0.9746363243565247,0.9748379692958863,0.9753946653607831,0.9750197230775323
