,0.0,0.05,0.1,0.2,0.3,0.5,1.0
0.0,0.8669735631971929,0.8934529757635016,0.8928576970566255,0.88887902477219,0.884186605624371,0.8777524269063864,0.8699018789572288
0.025,0.9200571179856056,0.9077574484668051,0.9049247657371107,0.8990516455167025,0.8944016416596393,0.8882486934517946,0.8805247506725756
0.05,0.921637633277754,0.9163061889048578,0.9081883828792807,0.9022938240255847,0.8969428118546792,0.891155631371588,0.8832313852141025
0.075,0.9231723729860886,0.9221651681272054,0.9136412247120465,0.9051592776342218,0.9010661955703657,0.8937760012251853,0.8859002138041709
0.1,0.9245181834678485,0.9244101142294346,0.9210334442705503,0.908160749488431,0.9032991340342151,0.8979243348010935,0.8881903737819791
0.15,0.9267985436164847,0.9268876232539847,0.9255287926011803,0.9176085426296559,0.9099728420743456,0.9026955923061115,0.8946837952538743
0.2,0.9289727307878728,0.9290290608021851,0.9279463387774765,0.9251374398900261,0.9181247079069571,0.9088462956973431,0.8991527260036295
0.3,0.9326886403655754,0.9333444946754322,0.9325469055598901,0.931441145154754,0.9293440437113856,0.9240239324907814,0.911531159243421
0.5,0.9381162978656626,0.9396254791315003,0.9396423946189052,0.9390233427994544,0.9388384266102918,0.9363812279389568,0.9309775781194501
