feature,gain
pred_mauricio,115227.8840675354
prior_combined,83242.57488632202
class_idx,65984.2130279541
site,43581.53861999512
pred_alexander,39289.40344238281
pred_perch,34730.927337646484
pred_bruce,12103.968566894531
bruce_class_auc,11974.447998046875
pred_baiyuby_flipped,10739.79776763916
pred_baiyuby_att,9024.297264099121
pred_snowflake_convnext,5876.1770095825195
pred_long_convnextv2,4882.091751098633
pred_snowflake_efnetv2m,4096.238746643066
class_taxa,2204.320068359375
hour,1007.3230285644531
prior_combined_log,869.4260177612305
year,0.0
