feature,gain
class_idx,163297.97292339802
prior_combined,148602.43580150604
pred_mauricio,99391.71300268173
site,75169.4293422699
pred_perch,58252.94333529472
pred_bruce,53441.24155831337
pred_alexander,35501.46692121029
pred_baiyuby_flipped,32246.706404328346
hour,28619.963320970535
pred_baiyuby_att,27757.025797247887
pred_long_convnextv2,25171.495500922203
bruce_class_auc,22296.902045726776
pred_snowflake_convnext,20911.148582577705
pred_snowflake_efnetv2m,19475.57893395424
prior_combined_log,10276.219408035278
class_taxa,3271.259922504425
year,872.0558969974518
