feature,gain
class_idx,122091.78441619873
prior_combined,97755.04652786255
pred_mauricio,96221.63645744324
site,41579.028144836426
pred_perch,41080.305643081665
pred_alexander,36441.27326583862
pred_bruce,22762.334897994995
bruce_class_auc,17883.13808441162
pred_baiyuby_att,14605.580980300903
hour,14430.997764587402
pred_baiyuby_flipped,10045.706867218018
class_taxa,8439.240142822266
pred_snowflake_convnext,6881.155967712402
pred_long_convnextv2,6271.514013290405
pred_snowflake_efnetv2m,6063.263820648193
prior_combined_log,3768.814661026001
year,0.0
