feature,gain
class_idx,180278.71420001984
prior_combined,120732.36159944534
pred_mauricio,105776.11489868164
pred_perch,57996.71482181549
site,46457.879668712616
pred_alexander,42662.528541088104
pred_bruce,39597.91772031784
hour,32524.497495651245
pred_baiyuby_att,23203.63467502594
pred_baiyuby_flipped,22263.17103099823
bruce_class_auc,20168.61870765686
pred_long_convnextv2,17749.33691072464
pred_snowflake_efnetv2m,14235.506760597229
pred_snowflake_convnext,14056.244188308716
class_taxa,13473.718340873718
prior_combined_log,6738.306864738464
year,502.24190378189087
