ref,title,author,lastRunTime,totalVotes
assyifahaqqi/birdclef-improve,BirdClef-Improve,Assyifa Haqqi,2026-04-20 14:46:02.160000,0
wslllll/w-test-new-slot-wslll,w-test-new-slot-wslll,wslllll,2026-04-21 03:54:24.650000,0
wslllll/w11-oof-framework-wslll,w11-oof-framework-wslll,wslllll,2026-04-21 04:12:55.527000,0
wslllll/w03-simple-test-wslll,w03-simple-test-wslll,wslllll,2026-04-21 04:33:14.607000,0
alilaudza/notebooke446edeac3,notebooke446edeac3,Haidar Ali Laudza,2026-04-21 06:32:53.237000,2
tsubasatech/birdclef2026-v293-fork934,birdclef2026-v293-fork934,Tsubasa Kanno,2026-04-21 12:59:26.570000,2
tsubasatech/birdclef2026-v299-ppens,birdclef2026-v299-ppens,Tsubasa Kanno,2026-04-21 13:31:54.947000,0
tsubasatech/birdclef2026-v300-ppens-eq,birdclef2026-v300-ppens-eq,Tsubasa Kanno,2026-04-21 13:32:14.330000,0
apachikoff/birdclef-2026-onnx-perch-sequence-model-302597,BirdCLEF 2026 — ONNX Perch + Sequence Model 302597,Данил Долгов,2026-04-21 20:20:04.430000,0
rauffauzanrambe/birdclef-2026-ai-loadreficient,BirdCLEF + 2026: AI+LoadReficient,Ra'uf Fauzan Rambe,2026-04-22 08:20:44.510000,8
vidthuma/train-simple-perch,train_simple_perch,Vid Thuma,2026-04-23 07:13:27.897000,0
gustavoquevedo94/pantanal-biodiversity-eda-competition-ana,🐦 Pantanal Biodiversity - EDA & Competition Ana,Gustavo Quevedo,2026-04-22 13:59:12.487000,2
gustavoquevedo94/audio-exploration-pantanal-birdclef-2026,🔊 Audio Exploration - Pantanal BirdCLEF 2026,Gustavo Quevedo,2026-04-22 14:02:38.017000,4
hassemees/b-first-own-baseline-with-perch,B First Own Baseline with Perch,Hasse Mees,2026-04-22 14:26:12.743000,2
imronrsya/notebooke446edeac3,notebooke446edeac3,Mohammad Imron Rosyadi,2026-04-24 14:16:07.923000,0
mariuszlubkowski/birdclef-2026-uv-inference,BirdCLEF 2026 UV Inference,Mariusz Lubkowski,2026-04-29 09:18:47.460000,0
yananaaaaa/birdclef2026-efficient-ensemble-inference-v5,BirdCLEF2026 Efficient Ensemble Inference v5,yananaaaaa,2026-04-24 03:44:06.377000,0
yananaaaaa/birdclef2026-efficient-ensemble-inference-v6,BirdCLEF2026 Efficient Ensemble Inference v6,yananaaaaa,2026-04-24 03:52:16.340000,0
yananaaaaa/birdclef2026-efficient-ensemble-inference-v9,BirdCLEF2026 Efficient Ensemble Inference v9,yananaaaaa,2026-04-24 04:28:43.503000,0
davidsario/notebooke6c5c986df,notebooke6c5c986df,David Sario,2026-04-28 16:14:37.520000,0
ttyn4519/kaggle-debug-soundscapes-contents,Kaggle debug soundscapes contents,t fuku,2026-04-25 02:48:54.437000,0
ttyn4519/kaggle-debug-soundscapes-tree,Kaggle debug soundscapes tree,t fuku,2026-04-25 02:49:39.587000,0
yananaaaaa/birdclef2026-efficient-ensemble-inference-v10,BirdCLEF2026 Efficient Ensemble Inference v10,yananaaaaa,2026-04-25 03:21:51.993000,0
yananaaaaa/birdclef2026-efficient-ensemble-inference-v11,BirdCLEF2026 Efficient Ensemble Inference v11,yananaaaaa,2026-04-25 03:40:02.327000,0
yananaaaaa/birdclef2026-efficient-ensemble-inference-v12,BirdCLEF2026 Efficient Ensemble Inference v12,yananaaaaa,2026-04-25 04:07:42.190000,0
yananaaaaa/birdclef2026-efficient-ensemble-inference-v13,BirdCLEF2026 Efficient Ensemble Inference v13,yananaaaaa,2026-04-25 04:18:42.680000,0
yananaaaaa/birdclef2026-efficient-ensemble-inference-v14,BirdCLEF2026 Efficient Ensemble Inference v14,yananaaaaa,2026-04-25 04:28:12.667000,0
up202108827/b-first-own-baseline-with-perch,B First Own Baseline with Perch,nuno silva,2026-05-14 09:35:43.957000,3
jieuna1/birdclef-2026-exploration-preprocessing-resampling,"BirdCLEF-2026 Exploration,Preprocessing,Resampling",JiEunA1,2026-04-25 19:39:30.393000,3
tamurakami/bc26-clean-data,[BC26]データをきれいにしたい(Clean_Data),田村 嘉実,2026-04-26 17:32:43.023000,2
shengguangzhou/birdclef2026-perch-v77-fork,birdclef2026-perch-v77-fork,Shengguang Zhou,2026-04-26 02:09:12.313000,0
zeyan0823/birdclef-2026-train-efficientnet-b0-5-fold,BirdCLEF-2026-train-efficientnet-b0-5-fold,zeyan0823,2026-04-27 06:04:41.483000,0
faraslimma/notebookfdcb98ecde,notebookfdcb98ecde,Faras Limma,2026-04-27 04:58:36.437000,0
pawanmali/birdclef-2026-advanced-perch-submission,BirdCLEF 2026 Advanced Perch Submission,Pawan Rama Mali,2026-04-27 07:54:57.407000,0
vyassaurabh/try-2,TRY_2,vyas saurabh,2026-04-27 10:36:43.330000,0
goose666/bird0427-basetrain,Bird0427-basetrain,goose666,2026-04-27 13:20:14.433000,5
juanpp11/birdclaf2026-analisis-avanzado,BirdCLAF2026 analisis avanzado,JUAN PABLO BLANDON URREGO,2026-05-03 20:18:39.437000,0
account1243/train,train,Account1243,2026-05-02 15:52:42.007000,0
jguevarag/01-eda,01 - EDA,JEFERSON GUEVARA GARCIA,2026-05-03 01:44:40.167000,3
juanpp11/birdclef2026,Birdclef2026,JUAN PABLO BLANDON URREGO,2026-05-03 04:46:51.757000,9
huydo170302/dsai1-internship-birdclef-2026,DSAI1_Internship_BirdCLEF+ 2026,HuyDo170302,2026-05-07 02:42:52.747000,5
jguevarag/02-preprocessing,02-Preprocessing,JEFERSON GUEVARA GARCIA,2026-05-03 01:54:51.550000,2
jguevarag/03-master-birdclef-pipeline,03-Master-BirdCLEF-Pipeline,JEFERSON GUEVARA GARCIA,2026-05-03 02:00:37.350000,1
furkanzmez/birdclef-2026-audio-deep-learning-pipeline,🐦 BirdCLEF 2026 — Audio Deep Learning Pipeline,Furkan,2026-04-29 09:30:40.093000,1
troyxxf/bc26-v168-tucker-distilled-sed-only-v1,BC26 V168 Tucker Distilled SED Only V1,Troyxxf,2026-04-29 14:10:55.567000,1
troyxxf/bc26-v169-compact-tucker-sed-only-v1,BC26 V169 Compact Tucker SED Only V1,Troyxxf,2026-04-29 14:16:43.613000,3
deep262003/birdclef-2026-training,BirdCLEF+2026 Training,So_Good_Person,2026-05-16 07:37:50.553000,3
samithsachidanandan/transforming-audio-to-mel-spec-birdclef-26,Transforming Audio-to-Mel Spec. | BirdCLEF'26,Samith Chimminiyan,2026-05-01 15:20:52.580000,3
jguevarag/04-cnn-efficientnet-training,04-CNN-EfficientNet-Training,JEFERSON GUEVARA GARCIA,2026-05-04 03:20:34.783000,19
rinntaro/birdclef-2026-inference-only-cpu,BirdCLEF 2026 — Inference Only (CPU),Rinntaro,2026-04-30 06:54:46.663000,0
udaken10/data-wash-and-make-datasets,data_wash_and_make_datasets,really?,2026-05-09 10:23:33.367000,1
troyxxf/bc26-v186-batched-tucker-sed-only-v1,BC26 V186 Batched Tucker SED Only V1,Troyxxf,2026-04-30 07:39:49.743000,1
troyxxf/bc26-v187-v4a014-negdelta-gate-v1,BC26 V187 V4A014 NegDelta Gate V1,Troyxxf,2026-04-30 07:46:50.463000,0
franksunp/birdclef-cnn-fork,BirdCLEF CNN Fork,fsun,2026-04-30 09:35:37.890000,4
ommodi07/birdclef2026,birdclef2026,OM MODI,2026-05-12 06:38:07.820000,3
rinntaro/birdclef-2026-gpu-training-efficientnet-b0,BirdCLEF 2026 — GPU Training (EfficientNet-B0),Rinntaro,2026-04-30 22:25:16.707000,0
jguevarag/05-kaggle-inference-submission,05-Kaggle-Inference-Submission,JEFERSON GUEVARA GARCIA,2026-05-04 23:42:27.087000,2
croftadams/v19-quantized-ensemble-birdclef-2026,V19 Quantized Ensemble BirdCLEF 2026,Croft Adams,2026-05-01 00:47:13.490000,2
samerattrah/birdclef-raw-audio,birdclef+_raw_audio,Samer Attrah,2026-05-17 03:37:53.247000,0
sadiq18/birdclef-2026-day-1,BirdCLEF+2026 - Day 1,Md Sadik Hussain,2026-05-03 18:16:08.227000,1
franksunp/birdclef-v25-youssefmo-exact-copy-v315706543,BirdCLEF V25 - YoussefMo Exact Copy (v315706543),fsun,2026-05-01 15:08:52.330000,0
ferukk/birdclef2026-mattia-baseline-v2,birdclef2026-mattia-baseline-v2,Gabriel,2026-05-01 20:14:52.137000,0
croftadams/nuclear-birdclef-domination,Nuclear BirdCLEF Domination,Croft Adams,2026-05-01 23:58:11.597000,0
juanpp11/notebook68ef5b5660,notebook68ef5b5660,JUAN PABLO BLANDON URREGO,2026-05-02 23:16:02.947000,0
croftadams/birdclef-2026-nuclear-system-v2-data-robust,BirdCLEF+ 2026 Nuclear System v2 - Data Robust,Croft Adams,2026-05-02 00:40:08.553000,1
croftadams/nuclear-birdclef-final-working,Nuclear BirdCLEF Final Working,Croft Adams,2026-05-02 00:49:37.743000,0
croftadams/birdclef-2026-nuclear-corrected-v2,BirdCLEF 2026 Nuclear Corrected v2,Croft Adams,2026-05-02 01:22:41.357000,0
kennyhu52/birdclef-2026,BirdCLEF 2026,kennyhu52,2026-05-11 23:09:13.743000,2
ulyanovantonamaranta/birdclef-2026-pantanal-repro,BirdCLEF+ 2026 Pantanal Repro,Amaranta,2026-05-03 03:02:11.817000,7
mikeychenn/birdclef-2026-v4-protossm-mlp,BirdCLEF 2026 V4 ProtoSSM MLP,YeyeChen,2026-05-03 10:41:39.583000,0
juanpp11/train-del-dataset,train del dataset,JUAN PABLO BLANDON URREGO,2026-05-05 21:02:28.420000,3
juanpp11/birdclef2026-seguda-parte,birdclef2026_seguda parte ,JUAN PABLO BLANDON URREGO,2026-05-09 21:21:32.660000,2
starsdaisuki/birdclef-2026-regnety-smoke-v1,BirdCLEF 2026 RegNetY Smoke V1,Hoshino Takanashi,2026-05-13 04:30:16.657000,7
pawanmali/hybrid-prototype-classifier-deep-dive,Hybrid Prototype Classifier Deep Dive,Pawan Rama Mali,2026-05-11 10:28:08.233000,7
aiaiaiooo/birdclef2026,BirdCLEF2026_端到端训练推理_本地版,我是书香客,2026-05-14 13:29:02.893000,4
adarsh5harma/birdclef-2026-v55-eslam,BirdCLEF 2026 v55 eslam,Adarsh Sharma,2026-05-16 18:34:00.783000,3
alexycactus/birdclef-2026-cnn-efficientnet-b0,BirdCLEF 2026 CNN EfficientNet B0,Alexy,2026-05-12 06:59:54.767000,3
henryszy/bc2026-raunak0946-noclap-v60,bc2026 raunak0946 noclap v60,Henryszy,2026-05-15 02:44:51.063000,2
franksunp/birdclef-2026-isotonic-v1,birdclef-2026-isotonic-v1,fsun,2026-05-14 15:58:19.787000,2
jacqueszhelinzhang/birdclef26-perch-fixed,birdclef26-perch-fixed,Jacques Zhelin Zhang,2026-05-11 12:59:09.727000,2
jacqueszhelinzhang/birdclef26-perch-clean,birdclef26-perch-clean,Jacques Zhelin Zhang,2026-05-11 12:45:37.610000,2
ttyn4519/perch-task239-task233-snowflake-agree-w003,Perch Task239 Task233 Snowflake Agree W003,t fuku,2026-05-10 15:30:22.223000,2
praxel/birdclef-2026-safar-lb0946,birdclef-2026 safar lb0946,Praxel,2026-05-10 11:46:18.613000,2
praxel/birdclef-2026-ttyn-task236-snowflake,birdclef-2026 ttyn task236 snowflake,Praxel,2026-05-10 11:46:17.220000,2
wuwenmin/birdclef-2026-v11-gate-tweak,BirdCLEF 2026 v11 gate tweak,william.wu,2026-05-06 11:12:37.993000,2
adarsh5harma/birdclef-2026-v61-safar-0948-fork,BirdCLEF 2026 v61 safar 0948 fork,Adarsh Sharma,2026-05-17 11:54:58.057000,1
alexycactus/birdclef-2026-cnn-infer,BirdCLEF 2026 CNN Infer,Alexy,2026-05-17 04:22:31.497000,1
jacqueszhelinzhang/birdclef26-onnx,birdclef26-onnx,Jacques Zhelin Zhang,2026-05-17 02:18:24.057000,1
henryszy/bc2026-raunak0946-ce-v65,bc2026 raunak0946 ce v65,Henryszy,2026-05-15 08:22:33.350000,1
henryszy/bc2026-ensemble-solutions-v66,bc2026 ensemble solutions v66,Henryszy,2026-05-15 06:29:45.303000,1
henryszy/bc2026-birdnet-3way-v65,bc2026 birdnet 3way v65,Henryszy,2026-05-15 06:29:41.877000,1
lucataco/bc26-nina-ensemble2-sanitized,bc26 nina ensemble2 sanitized,lucataco,2026-05-15 06:08:30.520000,1
henryszy/bc2026-safar0946-v63,bc2026-safar0946-v63,Henryszy,2026-05-15 04:33:24.547000,1
kruzzcc/bc26-convnext-v3r3-auc27-a03,bc26-convnext-v3r3-auc27-a03,kruzzcc,2026-05-15 04:12:05.490000,1
lucataco/bc26-adarsh-v35-gate-tfwheel-fix,BC26 Adarsh V35 Gate TFWheel Fix,lucataco,2026-05-14 01:03:09.583000,1
alexycactus/birdclef-2026-cnn-inference-regnety,BirdCLEF 2026 CNN Inference RegNetY,Alexy,2026-05-14 11:32:48.933000,1
lucataco/bc26-meenal-improved-fasttop,bc26 meenal improved fasttop,lucataco,2026-05-13 06:57:32.543000,1
lucataco/bc26-henry-v52-fasttop,bc26 henry v52 fasttop,lucataco,2026-05-13 06:45:50.437000,1
lucataco/bc26-henry-v51-fasttop,bc26 henry v51 fasttop,lucataco,2026-05-13 06:24:55.033000,1
alexycactus/birdclef-2026-cnn-inference,BirdCLEF 2026 CNN Inference,Alexy,2026-05-14 11:32:58.297000,1
henryszy/bc2026-robust-onlinepseudo-v43,bc2026 robust onlinepseudo v43,Henryszy,2026-05-11 05:21:01.920000,1
henryszy/bc2026-robust-snowagree-v41,bc2026 robust snowagree v41,Henryszy,2026-05-11 05:07:39.363000,1
henryszy/bc2026-robust-cv9245-tahead-rank0502-v39,bc2026 robust cv9245 tahead rank0502 v39,Henryszy,2026-05-10 14:00:25.367000,1
henryszy/bc2026-robust-tahead-rank03-v38,bc2026 robust tahead rank03 v38,Henryszy,2026-05-10 13:16:29.073000,1
henryszy/bc2026-tahead-artifact-smoke,bc2026 tahead artifact smoke,Henryszy,2026-05-10 13:16:28.843000,1
henryszy/bc2026-cv9245-artifact-smoke,bc2026 cv9245 artifact smoke,Henryszy,2026-05-10 13:11:01.777000,1
henryszy/bc2026-robust-top2-gated-snowflake-v35,bc2026 robust top2 gated snowflake v35,Henryszy,2026-05-10 12:53:47.650000,1
henryszy/bc2026-robust-gated-snowflake-v34,bc2026 robust gated snowflake v34,Henryszy,2026-05-10 12:52:01.387000,1
praxel/birdclef-2026-jojizhou-exp300-fake008,birdclef-2026 jojizhou exp300 fake008,Praxel,2026-05-10 11:46:53.577000,1
praxel/birdclef-2026-henry-snowflake-v33,birdclef-2026 henry snowflake v33,Praxel,2026-05-10 11:46:19.367000,1
praxel/birdclef-2026-badboy-v272-tahead,birdclef-2026 badboy v272 tahead,Praxel,2026-05-10 11:46:16.923000,1
jacqueszhelinzhang/birdclef26-perch-test,birdclef26-perch-test,Jacques Zhelin Zhang,2026-05-10 05:48:33.783000,1
henryszy/bc2026-robust-taxonaware-ppens-v31,bc2026 robust taxonaware ppens v31,Henryszy,2026-05-10 03:06:46.743000,1
alexycactus/birdclef-2026-pseudo-label-saver,BirdCLEF 2026 Pseudo Label Saver,Alexy,2026-05-09 09:51:48.363000,1
ulyanovantonamaranta/birdclef-2026-sheng-v18x-v19-repro,BirdCLEF+ 2026 Sheng V18x V19 Repro,Amaranta,2026-05-08 06:28:34.067000,1
franksunp/bc26-public-gate-combo-pc010-v2,BC26 Public Gate Combo PC010 V2,fsun,2026-05-08 06:10:32.533000,1
henryszy/bc2026-sheng-wsl-pacerq-v18,bc2026-sheng-wsl-pacerq-v18,Henryszy,2026-05-08 03:39:20.107000,1
mikeychenn/birdclef-2026-exp10-transformer-corrector-final-v3,BirdCLEF 2026 Exp10 Transformer Corrector Final v3,YeyeChen,2026-05-08 03:12:37.160000,1
mikeychenn/birdclef-2026-exp07-pseudo-labels-final-v3,BirdCLEF 2026 Exp07 Pseudo Labels Final v3,YeyeChen,2026-05-08 03:12:34.303000,1
mikeychenn/birdclef-2026-exp01-deeper-protossm-final-v3,BirdCLEF 2026 Exp01 Deeper ProtoSSM Final v3,YeyeChen,2026-05-08 03:12:31.277000,1
aixonvittle/sed-model-bc,SED_Model_BC,BNBU Liang Jun,2026-05-11 12:15:59.797000,1
wuwenmin/birdclef-2026-v12-gate-tweak,BirdCLEF 2026 v12 gate tweak,william.wu,2026-05-06 11:12:40.500000,1
wuwenmin/birdclef-2026-v10-gate-tweak,BirdCLEF 2026 v10 gate tweak,william.wu,2026-05-06 11:12:35.037000,1
cliff376/bc26-public-gate-pc010-ms2-v1,BC26 Public Gate PC010 MS2 V1,cliff376,2026-05-06 05:11:24.260000,1
cliff376/bc26-public-gate-pc010-head003-v1,BC26 Public Gate PC010 Head003 V1,cliff376,2026-05-06 02:53:37.007000,1
henryszy/bc2026-youssef-protossm-sed-v8,bc2026-youssef-protossm-sed-v8,Henryszy,2026-05-04 18:56:46.127000,1
claudedevore/birdclef-2026-r0946-a2prime-nfnet-submit,BirdCLEF 2026 R0946 A2Prime NFNet Submit,Claude Devore,2026-05-17 16:31:11.397000,0
tagirkhairutdinov/auto-birdclef-2026-exp019-eos4-rank-power-06-177,Auto Birdclef 2026 Exp019 Eos4 Rank Power 06 177,Tagir Analyzes,2026-05-17 16:30:54.320000,0
jacqueszhelinzhang/birdclef26-multi,birdclef26-multi,Jacques Zhelin Zhang,2026-05-17 14:42:26.353000,0
amulopapa67/birdclef-2026-youssef-gate-rankblend-w040-20260517,birdclef 2026 youssef gate rankblend w040 20260517,amulopapa67,2026-05-17 09:56:23.093000,0
adarsh5harma/birdclef-2026-v60-sed-tta,BirdCLEF 2026 v60 SED TTA,Adarsh Sharma,2026-05-17 09:50:30.040000,0
alexycactus/birdclef-2026-cnn-infer-dataset,BirdCLEF 2026 CNN Infer Dataset,Alexy,2026-05-17 09:22:45.057000,0
alexycactus/birdclef-2026-cnn-infer-safe,BirdCLEF 2026 CNN Infer Safe,Alexy,2026-05-17 05:49:35.517000,0
alexycactus/birdclef-2026-cnn-infer-fast,BirdCLEF 2026 CNN Infer Fast,Alexy,2026-05-17 05:06:31.890000,0
jacqueszhelinzhang/birdclef26-perch-clf,birdclef26-perch-clf,Jacques Zhelin Zhang,2026-05-16 19:25:31.027000,0
kehindesolomon/lb-improved, lb improved,Solomon Sunday,2026-05-16 18:06:47.617000,0
claudedevore/birdclef-2026-r0946-a2prime-effv2s-submit,BirdCLEF 2026 R0946 A2Prime EffV2S Submit,Claude Devore,2026-05-17 15:34:08.287000,0
alexycactus/birdclef-2026-cnn-sed-b0-run2,BirdCLEF 2026 CNN SED B0 Run2,Alexy,2026-05-16 14:04:21.103000,0
chaneyma/bc26-gate-v53-eos4-shared-perch-no-birdnet-scan,BC26 Gate v53 EoS4 shared Perch no BirdNET scan,Suda,2026-05-16 08:27:47.087000,0
chaneyma/bc26-gate-v52-eos4-shared-test-perch,BC26 Gate v52 EoS4 shared test Perch,Suda,2026-05-16 07:45:45.767000,0
chaneyma/bc26-gate-v51-eos4-shared-perch,BC26 Gate v51 EoS4 shared Perch,Suda,2026-05-16 07:17:54.387000,0
lucataco/bc26-scoredesc-conservative-ensemble,BC26 ScoreDesc Conservative Ensemble,lucataco,2026-05-16 07:06:03.297000,0
chaneyma/bc26-gate-v50-eos4-exact-style,BC26 Gate v50 EoS4 exact style,Suda,2026-05-16 06:45:00.333000,0
alexycactus/birdclef-2026-cnn-sed-b0-run1,BirdCLEF 2026 CNN SED B0 Run1,Alexy,2026-05-16 06:16:33.493000,0
franksunp/bc26-v3-no-clap,BC26 V3 No CLAP,fsun,2026-05-16 04:43:36.403000,0
franksunp/birdclef-2026-v3-balanced,BirdCLEF 2026 V3 Balanced,fsun,2026-05-16 04:32:28.493000,0
kruzzcc/bc26-safar-0947-birdnet,bc26-safar-0947-birdnet,kruzzcc,2026-05-16 02:05:22.373000,0
adarsh5harma/birdclef-2026-v49-effnet05,BirdCLEF 2026 v49 effnet05,Adarsh Sharma,2026-05-15 18:41:11.410000,0
tulayppppp/my-efficientnet-b0-weights,my-efficientnet-b0-weights,tulayppppp,2026-05-16 19:51:16.793000,0
solokop/birdclef-2026-perch-onnx,BirdCLEF 2026 Perch ONNX,Steve Le (Solokop),2026-05-15 18:14:50.600000,0
jacqueszhelinzhang/birdclef26-ensemble,birdclef26-ensemble,Jacques Zhelin Zhang,2026-05-16 18:50:26.857000,0
chaneyma/bc26-gate-v43-full-nina-rank5050-withinfile-rank,bc26 gate v43 full nina rank5050 withinfile rank,Suda,2026-05-15 14:31:15.613000,0
makotokomizo/birdclef-2026-eda,BirdCLEF 2026 EDA,mako,2026-05-14 14:13:03.220000,0
samejimatink0/birdclef-2026-hgnetv2-b0-baseline-training,BirdCLEF+2026: HGNetV2-B0 Baseline [Training],TY0912,2026-05-17 10:23:14.333000,0
lucataco/bc26-raunak-birdnet4-proxyfix,bc26 raunak birdnet4 proxyfix,lucataco,2026-05-14 06:42:57.940000,0
claudedevore/birdclef-2026-r0947-birdnet-guard-submit,BirdCLEF 2026 R0947 BirdNET Guard Submit,Claude Devore,2026-05-14 06:34:48.667000,0
udaken10/last-note-for-submission,last_note_for_submission,really?,2026-05-14 13:36:34.253000,0
wangdongyang/birdclef-2026-b2-standalone,birdclef-2026-b2-standalone,WANG DONGYANG,2026-05-13 18:59:08.910000,0
xiyuetong/birdclef2026-ensemble-v3-topn-pseudo-clap,birdclef2026 ensemble v3 topn pseudo clap,xiyuetong,2026-05-13 15:08:41.550000,0
adarsh5harma/birdclef-2026-v35-gate-fork,BirdCLEF 2026 v35 gate fork,Adarsh Sharma,2026-05-13 23:18:54.353000,0
kruzzcc/birdclef-2026-owned-convnext-alpha05,birdclef-2026-owned-convnext-alpha05,kruzzcc,2026-05-13 09:32:56.477000,0
lucataco/bc26-xiyuetong-clap-fasttop,bc26 xiyuetong clap fasttop,lucataco,2026-05-13 07:34:36.027000,0
starsdaisuki/birdclef-2026-regnety-fold0-v1,BirdCLEF 2026 RegNetY Fold0 V1,Hoshino Takanashi,2026-05-13 05:04:34.377000,0
chaneyma/bc26-gate-v31-imaad0946-v26-shared-blend,bc26 gate v31 imaad0946 v26 shared blend,Suda,2026-05-13 04:54:59.633000,0
jacqueszhelinzhang/birdclef26-test,birdclef26-test,Jacques Zhelin Zhang,2026-05-12 16:10:56.023000,0
kevinermille/birdclef-2026-yash-pantanal-pro,BirdCLEF 2026 Yash Pantanal Pro,Kevin E R MILLE,2026-05-12 15:02:53.703000,0
beicicc/birdclef2026-nina-ensemble-20260512,birdclef2026 nina ensemble 20260512,Kun Zhang,2026-05-12 14:36:56.003000,0
beicicc/birdclef2026-mtoshi-ensemble3-20260512,birdclef2026 mtoshi ensemble3 20260512,Kun Zhang,2026-05-12 14:18:58.270000,0
jacqueszhelinzhang/birdclef26-perch-final,birdclef26-perch-final,Jacques Zhelin Zhang,2026-05-12 15:46:37.320000,0
alexycactus/birdclef-2026-cnn-regnety,BirdCLEF 2026 CNN RegNetY,Alexy,2026-05-12 07:05:05.273000,0
udaken10/washed-audio-infer,washed_audio_infer,really?,2026-05-12 10:01:54.803000,0
jacqueszhelinzhang/birdclef26-perch-dataset,birdclef26-perch-dataset,Jacques Zhelin Zhang,2026-05-12 07:01:59.970000,0
jacqueszhelinzhang/birdclef26-perch-tfhub,birdclef26-perch-tfhub,Jacques Zhelin Zhang,2026-05-12 00:52:18.573000,0
chaneyma/bc26-gate-v24-lse-probe-perclass,bc26 gate v24 lse probe perclass,Suda,2026-05-11 23:14:17.130000,0
chaneyma/bc26-gate-v23-temporal-lse,bc26 gate v23 temporal lse,Suda,2026-05-11 22:46:46.827000,0
bleachonn77/notebookf0a750a18c,notebookf0a750a18c,丸尾祐介,2026-05-11 16:40:55.370000,0
mtoshidesu/tesbirdclef-2026-gate-fake008-head0015,TesBirdCLEF+ 2026 Gate Fake008 Head0015,m-toshi desu,2026-05-11 01:55:41.187000,0
jacqueszhelinzhang/birdclef26-perch-ensemble,birdclef26-perch-ensemble,Jacques Zhelin Zhang,2026-05-10 11:15:15.743000,0
jacqueszhelinzhang/birdclef26-perch-classifier-v2,birdclef26-perch-classifier-v2,Jacques Zhelin Zhang,2026-05-10 10:57:31.947000,0
jacqueszhelinzhang/birdclef26-perch-classifier,birdclef26-perch-classifier,Jacques Zhelin Zhang,2026-05-10 10:53:40.037000,0
jacqueszhelinzhang/birdclef26-test-input,birdclef26-test-input,Jacques Zhelin Zhang,2026-05-10 06:40:19.777000,0
jacqueszhelinzhang/birdclef26-cnn-notebook,birdclef26-cnn-notebook,Jacques Zhelin Zhang,2026-05-10 00:20:08.217000,0
jacqueszhelinzhang/birdclef26-submit-v8,birdclef26-submit-v8,Jacques Zhelin Zhang,2026-05-10 00:15:12.777000,0
kosuke123/k-plus-rt-ensemble-may10,K plus RT ensemble may10,diet1236364,2026-05-09 19:25:25.280000,0
henryszy/bc2026-robust-midanchor-ppens-v29,bc2026 robust midanchor ppens v29,Henryszy,2026-05-09 16:40:35.017000,0
ttyn4519/perch-task229-haru-p125-replay,Perch Task229 Haru P125 Replay,t fuku,2026-05-09 14:15:06.673000,0
badboyhalo1801/birdclef-2026-v272-5way-blend-tahead,birdclef-2026-v272-5way-blend-tahead,badboyhalo1801,2026-05-09 13:11:21.067000,0
chaneyma/bc26-gate-v14-sonotype-softprobe,bc26 gate v14 sonotype softprobe,Suda,2026-05-09 07:57:04.270000,0
chaneyma/bc26-gate-baseline-all66-replicate,bc26 gate baseline all66 replicate,Suda,2026-05-08 13:24:59.303000,0
kosuke123/bc2026-mr2-mirrorrare-only-no-c3,BC2026 MR2 MirrorRare only (no C3),diet1236364,2026-05-08 10:29:37.873000,0
kosuke123/bc2026-mr1-c3-mirrorrare-needless0946-trick,BC2026 MR1 C3 + MirrorRare (needless0946 trick),diet1236364,2026-05-08 10:29:35.680000,0
jojizhou/birdclef-2026-v12-sed-b3-fold0,birdclef-2026-v12-sed-b3-fold0,JojiZhou,2026-05-08 09:12:52.177000,0
kosuke123/bc2026-vr5-c3-sed-0-55,BC2026 VR5 C3 + SED 0.55,diet1236364,2026-05-08 08:19:27.543000,0
kosuke123/bc2026-vr4-c3-residual-0-50,BC2026 VR4 C3 + residual 0.50,diet1236364,2026-05-08 08:19:26.203000,0
kosuke123/bc2026-vr3-c3-tta-proto,BC2026 VR3 C3 + TTA proto,diet1236364,2026-05-08 08:19:23.057000,0
kosuke123/bc2026-vr2-c3-no-adaptive-smooth,BC2026 VR2 C3 no adaptive smooth,diet1236364,2026-05-08 08:19:21.203000,0
kosuke123/bc2026-vr1-c3-lambda-0-6,BC2026 VR1 C3 + lambda 0.6,diet1236364,2026-05-08 08:19:18.677000,0
kosuke123/birdclef-2026-consolidated-v2-c3-konbu17-3,BirdCLEF 2026 consolidated v2 C3 + konbu17 3%,diet1236364,2026-05-08 08:04:26.560000,0
kosuke123/birdclef-2026-consolidated-v2-c3-konbu17-5,BirdCLEF 2026 consolidated v2 C3 + konbu17 5%,diet1236364,2026-05-08 08:04:24.797000,0
kosuke123/birdclef-2026-consolidated-v2-konbu17-5,BirdCLEF 2026 consolidated v2 + konbu17 5%,diet1236364,2026-05-08 08:04:21.907000,0
kosuke123/birdclef-2026-consolidated-v2-c3-reproduce,BirdCLEF 2026 consolidated v2 C3 reproduce,diet1236364,2026-05-08 08:04:19.607000,0
ulyanovantonamaranta/birdclef-2026-gate-f008-mirrorrare-rt002,BirdCLEF+ 2026 Gate F008 MirrorRare RT002,Amaranta,2026-05-08 07:52:05.937000,0
ulyanovantonamaranta/birdclef-2026-needless0946-public-rt003,BirdCLEF+ 2026 Needless0946 Public RT003,Amaranta,2026-05-08 07:38:12.207000,0
jojizhou/bc26-v10-sed-fold3,bc26-v10-sed-fold3,JojiZhou,2026-05-08 03:44:48.647000,0
