ref,title,author,lastRunTime,totalVotes
monkeyclaw/birdclef-2026-v3-deepcnn-postprocessing,BirdCLEF 2026 V3 - DeepCNN + PostProcessing,MonkeyClaw,2026-04-04 02:42:08.423000,0
lamnguyentran6/transfer-ogg-to-npy,Transfer .ogg to .npy,Trần Lâm Nguyên,2026-04-04 13:40:38.177000,0
ftakahas/birdclef-2026-exp01,BirdCLEF 2026 - exp01,onick_man,2026-04-04 14:20:03.067000,0
indrapurwanto01/notebookb174b47cc2,notebookb174b47cc2,Indra,2026-04-05 12:22:40.067000,0
ttahara/birdclef-2026-torch-v-s-openvino-in-infer-speed,BirdCLEF+2026: Torch v.s. OpenVINO in Infer Speed,Tawara,2026-04-07 07:49:58.563000,3
pacerq/birdclef2026-v31-submit,birdclef2026-v31-submit,sysMirror,2026-04-05 10:33:27.640000,0
monkeyclaw/birdclef-2026-v10-fixed,BirdCLEF 2026 V10 Fixed,MonkeyClaw,2026-04-05 10:22:12.927000,1
miaaaf/pantanal-distill-birdclef2026-v18x-tweak,pantanal-distill-birdclef2026-v18x-tweak,Miaaa F,2026-04-05 13:02:26.217000,0
miaaaf/pantanal-distill-birdclef2026-v18x-ablat,pantanal-distill-birdclef2026-v18x-ablat,Miaaa F,2026-04-05 13:12:22.660000,1
hasnain201/birdsong-classifier-efficientnet-attention,Birdsong-Classifier-Efficientnet-Attention,Hasnain khan,2026-04-05 13:16:58.323000,0
giftyamaamponsah/birdclef-2026-improved-ensemble-lb-0-929,BirdCLEF+ 2026 | Improved Ensemble | [LB 0.929],Gifty Ama Amponsah,2026-04-05 14:53:08.463000,0
zhiyue666/training-birdclef-2026-baseline-zhiyue666,[Training] BirdCLEF+ 2026 Baseline | zhiyue666,zhiyue666,2026-04-05 15:18:49.807000,7
yaroslavfetisov/lab-2-0,lab_2.0,Ярослав,2026-04-06 20:33:44.500000,0
pacerq/birdclef2026-v32-stacking,birdclef2026-v32-stacking,sysMirror,2026-04-05 19:33:59.480000,1
pacerq/birdclef2026-v33-perch-cache,birdclef2026-v33-perch-cache,sysMirror,2026-04-05 19:35:31.153000,1
mah20050/segperch-audio-distillation-and-inference-scaling,SegPerch: Audio Distillation and Inference Scaling,Mahmoud saad Elgharib,2026-04-11 16:42:53.027000,26
pacerq/birdclef2026-v35-ensemble,birdclef2026-v35-ensemble,sysMirror,2026-04-06 04:36:32.727000,1
ologin/birdclef-2026-semi-supervised-student-inference,BirdCLEF 2026 Semi-Supervised Student Inference,Meteor,2026-04-06 06:04:54.277000,0
