users,best_score,best_rank,n_teams
dkozlov,0.948,192,1
dlbyte,0.947,560,1
dmitriigromak,0.841,2603,1
dmitriiprokhorov,0.947,459,1
dmitriych,0.942,1214,1
dmitriygerasimov,0.927,1660,1
dmoustakas,0.925,1804,1
dmytrokolisnyk,0.921,1936,1
dndhukn,0.927,1679,1
dnt111,0.5,3476,1
dohanse,0.5,3538,1
dohkev,0.885,2384,1
dohyeongkimsjsu,0.845,2578,1
dohyunlee2001,0.82,2727,1
doifgoox,0.93,1466,1
dokster,0.825,2685,1
dominicjamil,0.825,2686,1
dominiquezuniga,0.478,3589,1
donaldchogou,0.866,2479,1
doncli,0.949,120,1
dondenison,0.943,1156,1
donkeys,0.832,2649,1
doonut,0.924,1834,1
dorainren,0.947,492,1
doventang,0.809,2782,1
doviaernest,0.947,449,1
dpavao,0.947,626,1
dqnbin,0.93,1464,1
dragoandreibobu,0.608,3249,1
dragonegg,0.811,2766,1
drahmedmabdelsalam33,0.5,3452,1
drakus74,0.762,2963,1
drchenb,0.947,548,1
drjcfmd,0.65,3202,1
drkongvis,0.941,1298,1
drpatrickchan,0.946,794,1
drqingyang,0.948,178,1
drrkotteeswaran,0.813,2760,1
dsbeta,0.947,540,1
dspavieri,0.748,3017,1
dss2hki74h,0.808,2783,1
dtvisguy,0.778,2891,1
dubido,0.762,2969,1
ducnguyenvan,0.942,1238,1
ductaiphan,0.715,3099,1
dudubinggan,0.779,2889,1
dukekojokongo,0.89,2348,1
duymaingoc,0.927,1699,1
duypnguyen,0.86,2514,1
dvpoojary,0.946,770,1
dylanxue04,0.923,1874,1
dzakyprastiadi,0.925,1795,1
dzy2300012107,0.931,1454,1
eagle0406,0.522,3330,1
easonwang21,0.945,923,1
easonzzzzzz,0.946,780,1
ebisen1444,0.946,751,1
ebjdoe,0.922,1899,1
echigobran,0.944,970,1
echoxlzk,0.92,1965,1
edamamex,0.949,76,1
edgarkirakosyan,0.943,1138,1
edithyong,0.944,1069,1
edomingo,0.948,343,1
edraj006,0.87,2460,1
eduarddehelean,0.842,2598,1
edwraymond,0.943,1110,1
efanzz,0.91,2108,1
egbertnatalynn,0.927,1713,1
egortkachenko,0.912,2082,1
egortrushin,0.851,2556,1
eha152,0.931,1448,1
ehimennathan,0.722,3079,1
eiad00,0.52,3332,1
eierapfelxx,0.928,1555,1
eiheychan,0.948,154,1
eikv77,0.868,2467,1
ejoshfu,0.872,2443,1
electroknight,0.853,2544,1
eleuzaaraujo,0.926,1770,1
elfinakarima,0.921,1953,1
eliork,0.923,1877,1
eliottnaigre,0.767,2939,1
eliottpelpel,0.5,3547,1
elizasirait,0.685,3155,1
ellieskaarer,0.502,3379,1
elmasriahmed,0.843,2590,1
elusiveelephant,0.926,1734,1
elvisbui,0.943,1091,1
emanafi,0.679,3165,1
emanmughal,0.827,2666,1
emanuellcs,0.924,1844,1
emelmemetolu,0.932,1432,1
emielnagel,0.93,1470,1
emilymax,0.943,1163,1
emilyweng,0.615,3244,1
emirhan3223,0.929,1543,1
emmypos,0.947,547,1
emoptisie,0.75,3007,1
emtovo,0.944,974,1
endeavourryo,0.928,1575,1
enduejdu,0.945,929,1
endyuma,0.942,1213,1
energyx11,0.943,1166,1
enoughrook2,0.657,3191,1
enrico777,0.895,2313,1
enricoleitch,0.5,3433,1
enzowalter,0.9,2260,1
erakalaja,0.927,1701,1
erasmusbraschl,0.81,2776,1
erdalmemetoglu,0.927,1675,1
erenfelis,0.685,3155,1
erfaneshrati,0.924,1860,1
ericguangkuo,0.825,2681,1
erikvdven,0.5,3422,1
eriturn,0.943,1118,1
ernie55ernie,0.91,2117,1
error1249x,0.948,328,1
esaaak,0.455,3598,1
esabellechen,0.922,1924,1
eshen1008,0.616,3241,1
eslamelokpy,0.946,764,1
ethanka,0.86,2510,1
ethankershner,0.947,429,1
ethnwen,0.605,3257,1
eugenesysu,0.947,591,1
eulogy,0.948,345,1
evanjpowell,0.941,1275,1
evannote,0.942,1247,1
evansussex,0.949,129,1
evelyn3976,0.943,1182,1
evelynwhite1727,0.945,933,1
evenlee1688,0.934,1406,1
evgendvorkin,0.728,3063,1
evgeniimaslov2,0.944,986,1
evgeniyadm,0.929,1508,1
evilpegasus,0.942,1207,1
evilyevihut,0.928,1633,1
ex2uply,0.943,1192,1
exitasonc,0.782,2881,1
ezhinirasendiran,0.928,1628,1
fabiansyahcahyo,0.898,2293,1
fabris21,0.81,2772,1
fahdelansari,0.709,3114,1
faheemrasool12,0.488,3579,1
fanghuixu,0.752,2998,1
fanout,0.825,2695,1
farbinaziz,0.647,3207,1
farhanmdsiraj,0.77,2924,1
farhanwew,0.785,2868,1
farshidamira,0.948,336,1
fastlight2007,0.949,54,1
fathurwithyou,0.91,2122,1
fayhar,0.92,1961,1
faykudbq,0.947,583,1
fbenkhalifa,0.934,1402,1
fckingeveryday,0.499,3558,1
fe7777,0.923,1871,1
feidanning,0.947,659,1
fengfmsfms,0.494,3573,1
fengjuntonghelga,0.948,194,1
fengkexiang,0.943,1164,1
fengstar,0.949,48,1
ferdinandlimburg,0.889,2363,1
fernandosr85,0.826,2672,1
fernandozorzal,0.853,2547,1
ferrari11,0.806,2788,1
ferroxrocks,0.86,2512,1
ferukk,0.946,713,1
ferzafarrell,0.5,3487,1
ffffffffuummmm,0.745,3029,1
fibrato,0.946,707,1
fieldhh,0.946,789,1
fijohaker,0.947,593,1
filipjarmua,0.858,2520,1
finlayanderson,0.773,2911,1
fire15,0.946,841,1
firedemon1,0.869,2462,1
firstzsy,0.747,3024,1
fishcat37,0.908,2154,1
flamepurple,0.944,1051,1
flaming0,0.899,2273,1
flarem15,0.77,2925,1
flechazoie,0.917,2008,1
fleongg,0.946,719,1
flocier,0.906,2196,1
florianbiardeau,0.667,3176,1
flower244140625,0.944,969,1
fluidize,0.788,2854,1
fnhirwa,0.906,2189,1
fogflower,0.679,3166,1
foguellidor,0.906,2193,1
foigjf,0.928,1638,1
fonkurz,0.897,2300,1
forgakki,0.949,55,1
fountainheadle,0.927,1663,1
foysalemonshanto,0.948,329,1
fradejane,0.945,926,1
francescocampigotto,0.933,1411,1
franciscacarneiro,0.911,2105,1
franciscacastrom,0.653,3197,1
frank9487,0.942,1204,1
franklintrevor,0.947,444,1
franksunp,0.948,376,1
freeduck1101,0.929,1490,1
freemanhui,0.947,679,1
freudbokossa,0.866,2479,1
fridaycode,0.921,1956,1
fruitchen,0.946,699,1
fsaooo,0.912,2095,1
ftakahas,0.774,2906,1
fucfan,0.499,3554,1
fufufukakaka,0.934,1397,1
fujikawaa7,0.942,1242,1
fujingwen1375,0.947,499,1
fukushi294,0.935,1388,1
fullname852,0.948,302,1
funnybishop,0.648,3204,1
furkaan309,0.79,2844,1
furqanalghifari,0.573,3286,1
furqanykhan,0.779,2888,1
furqonaryadana,0.906,2200,1
fusahuko555fusahiko,0.637,3220,1
fuumin621,0.908,2169,1
fvegamaza,0.913,2066,1
fx6300,0.948,375,1
fxlcee,0.949,84,1
fyenneyenn,0.945,909,1
ga5534,0.89,2362,1
gabbag2,0.714,3100,1
gabiboubibel,0.925,1802,1
gabinacode,0.656,3192,1
gabrieldias0202,0.667,3177,1
gabriele83,0.908,2155,1
gabtenimouhamed,0.93,1483,1
gajananbarve,0.929,1542,1
galaxy2025,0.948,247,1
gamesjadley,0.927,1689,1
ganadorplusultra,0.925,1775,1
ganboldbaasanjav,0.712,3108,1
gandalfhaha,0.825,2700,1
ganeshstemx,0.881,2402,1
ganjimunimadhuri,0.5,3416,1
gany24558,0.839,2619,1
gaokhalil,0.852,2551,1
gaoyudut,0.947,525,1
gap123,0.928,1557,1
garcdiane,0.943,1154,1
garyliu2285,0.515,3347,1
gauravbrills,0.946,793,1
gauravparkhedkar,0.946,790,1
gauravsaklani00,0.876,2426,1
gaurisonawanesgp,0.5,3414,1
gavinzhangjiawei,0.947,438,1
gdreallygoodman,0.89,2354,1
gealachpumpkin,0.947,406,1
gendaijin,0.948,163,1
gentakabasawa,0.925,1773,1
gentlezdh,0.938,1353,1
georgeimanuelsurya,0.691,3142,1
georgeodhiambo07,0.945,912,1
georgeturbo,0.945,929,1
gerarddevlin,0.944,1028,1
germanmoramartin,0.944,1055,1
getties,0.854,2540,1
ggaryypeng,0.659,3186,1
ghostauroragre,0.678,3168,1
ghosteee,0.947,634,1
ghostiee11,0.947,616,1
ghostlytalent,0.943,1073,1
ghpoi33,0.947,468,1
giaanp,0.948,151,1
giaanpham,0.931,1444,1
gianglchu,0.944,1007,1
gibranahmadm,0.915,2040,1
gillangad,0.921,1950,1
gillescolling,0.932,1436,1
gingsong,0.938,1352,1
giorgipapidze,0.846,2569,1
giovannyrodrguez,0.946,829,1
gllekk,0.5,3473,1
gmborges,0.782,2880,1
gnezmen,0.935,1383,1
gns100,0.765,2957,1
go34567890,0.92,1969,1
goddamned,0.718,3093,1
godminhkhoa,0.912,2075,1
goevian,0.946,808,1
gojamodicsila,0.911,2105,1
gojay001,0.949,126,1
gojibori,0.819,2734,1
gokuln2007,0.82,2730,1
goldenlock,0.731,3059,1
goldian,0.947,661,1
golomolzind,0.725,3070,1
gongruiliang,0.947,525,1
goodjm0698,0.946,898,1
goofyrizz,0.946,770,1
goonew,0.951,28,1
goose666,0.945,917,1
goosehaaan,0.882,2400,1
gordeevmax,0.947,484,1
gorillawakayama,0.949,135,1
gormanucharyan,0.92,1969,1
gorubachohu,0.849,2563,1
gosukouts,0.945,930,1
goth55,0.781,2882,1
gourabr0y555,0.924,1829,1
gouroveroy,0.92,1967,1
gradgen23,0.947,623,1
greedshen,0.928,1601,1
gregcj,0.947,434,1
gregorsonntag,0.687,3149,1
grennwolf,0.919,1988,1
grifth,0.946,802,1
grobinsonpro,0.94,1317,1
gruubyhimself,0.949,57,1
gs0504,0.93,1468,1
gssreshta,0.891,2342,1
guangxiangtang,0.944,966,1
guangyifeng,0.944,1052,1
guillaumeboursiac,0.928,1566,1
gunianxue,0.948,227,1
gunikatanwar,0.5,3431,1
guru001,0.752,3000,1
gurusingh1834,0.947,630,1
gustavoquevedo94,0.5,3480,1
gusxocat,0.658,3188,1
guuyqb,0.943,1198,1
gybasa,0.928,1574,1
gzdenurdoan,0.5,3499,1
gzyztc,0.89,2356,1
habedi,0.947,633,1
habibbayo93,0.687,3151,1
habiburrahman15,0.921,1948,1
hackerhe,0.946,902,1
hadriendubois,0.946,712,1
hadyankholish,0.903,2231,1
haidaralilaudza,0.795,2831,1
haileyl123,0.802,2801,1
haiwonjang,0.945,941,1
hajime3126,0.944,976,1
halett,0.898,2292,1
halhalhalhalhalhal,0.943,1105,1
hamatz,0.948,150,1
hamidhaghshenas,0.948,308,1
hamishdickson,0.886,2382,1
hamkasuhaimi,0.925,1818,1
hamzastudentbenzaoui,0.5,3449,1
handeuygun,0.923,1864,1
hanifnoerrofiq,0.948,282,1
hanijezo,0.935,1380,1
hanwenzhangkkk,0.929,1498,1
haochensunn,0.946,813,1
haojinjinhao,0.943,1149,1
haonanzhengh,0.946,897,1
haoqiangzheng,0.704,3121,1
haozyang,0.652,3201,1
haphngngcgia,0.5,3476,1
happygogildong,0.5,3552,1
happylongliveduck,0.937,1363,1
happyunhappy,0.946,708,1
happywinder,0.942,1227,1
haradibots,0.5,3450,1
hardikyerne,0.948,364,1
harishazkafirdaus,0.929,1539,1
harishk2209,0.947,452,1
harishnic,0.866,2480,1
harishteens,0.497,3570,1
harlankefalas,0.814,2755,1
harlenka,0.949,132,1
harpolestlouis,0.89,2343,1
harrywhalen,0.867,2473,1
harryzhanghr111,0.928,1609,1
harshankmatkar,0.514,3348,1
harshavardhanrouthu,0.906,2202,1
harshgupta4444,0.742,3035,1
harshitakumari256,0.89,2349,1
harshitasayala,0.945,908,1
harshitkansal2004,0.927,1706,1
harshitkmr,0.923,1891,1
harshjain123,0.925,1806,1
harshrajbhar,0.924,1822,1
haru0707,0.949,76,1
haruharufff,0.948,313,1
harunasabiuharuna,0.49,3576,1
harutoplayz,0.5,3432,1
harv19,0.91,2118,1
hasanbircanta,0.698,3130,1
hasankhadra,0.644,3211,1
haseebkn,0.892,2335,1
hashidoyuto,0.761,2971,1
hashini,0.777,2895,1
hashiuraryota,0.946,784,1
hasikure,0.926,1728,1
hassan1417,0.936,1372,1
hassanalgizani,0.936,1371,1
hassemees,0.926,1769,1
hauntz,0.762,2964,1
hayatetaf,0.942,1228,1
hayatotech,0.917,2022,1
hayatoyuu,0.943,1189,1
hazimjime,0.66,3185,1
hcabr1,0.946,699,1
hchoudry,0.917,2021,1
hdhsjdjd,0.948,227,1
headsortails,0.928,1588,1
heavycoderyash,0.947,668,1
heenanasit,0.5,3527,1
heifruit,0.892,2332,1
hellodave2035,0.5,3506,1
helloworld78,0.947,490,1
helmirinaldi,0.935,1379,1
hemanthkumarthamada,0.943,1115,1
hemviramgama,0.866,2481,1
hengck23,0.928,1639,1
henggao25,0.948,288,1
hengzheng,0.952,25,1
henislv,0.946,893,1
henryszy,0.946,699,1
henteye,0.941,1309,1
hermanadriaensen,0.926,1769,1
hernangonzalezpablo,0.767,2936,1
herobrine330317,0.944,1046,1
herossie,0.948,296,1
herrahuu,0.951,30,1
heuljax,0.94,1326,1
heyuuu,0.921,1938,1
hhamxahh,0.825,2702,1
hhhhajimi,0.519,3336,1
hhorimoto,0.819,2732,1
hhyyll11,0.821,2725,1
hi210278,0.947,575,1
hichambellafkir,0.926,1767,1
hidebu,0.948,314,1
hidenov,0.946,762,1
hideyochiba,0.934,1410,1
hideyukizushi,0.953,17,1
hikari30,0.94,1322,1
hikarinosensh1,0.947,557,1
hikarukai,0.934,1400,1
hikarumeda1030,0.89,2352,1
hilalelmehdi,0.944,1035,1
himanshubalara,0.908,2163,1
himanshukumar2455,0.862,2501,1
hinapontaro,0.917,2009,1
hinatakoizumi,0.79,2845,1
hinemos,0.948,229,1
hinemusk,0.924,1855,1
hinnguync,0.762,2968,1
hiqah22,0.948,261,1
hiranorm,0.947,618,1
hirayukis,0.928,1553,1
hirday517,0.948,182,1
hiroki307,0.608,3253,1
hiromukitamori,0.913,2069,1
hiromunewada,0.947,648,1
hironakayama,0.946,727,1
hiroshi335,0.945,937,1
hiroshikurokawa,0.946,819,1
hirotetsu,0.897,2296,1
hirotoshisaito,0.929,1510,1
hiroyasuokuno,0.929,1495,1
hiroyukishoji,0.908,2162,1
hitarthpandey,0.773,2909,1
hitimai,0.948,176,1
hizurukonishi,0.947,513,1
hkawanishi,0.881,2405,1
hlf111,0.944,993,1
hmh2023,0.5,3467,1
hoangvux,0.928,1586,1
holar9,0.929,1516,1
holmesamzish,0.928,1596,1
holy5contents,0.927,1702,1
homeshwarrao,0.947,609,1
honganzhu,0.91,2130,1
hongchendai,0.949,89,1
hongdongcheng,0.5,3459,1
honghanhhh,0.946,878,1
honglihang,0.175,3601,1
hongweiluan,0.938,1347,1
hongyuchen123321,0.946,847,1
hope666,0.939,1339,1
horaz0,0.935,1384,1
horizen12,0.949,140,1
horizonocean,0.775,2898,1
horrison,0.943,1080,1
hosseinbahraminekoo,0.876,2423,1
hotsonhonet,0.701,3123,1
hovhannesmanushyan,0.946,876,1
hrguimaraes,0.871,2452,1
hriditasaha07,0.481,3587,1
hrishidongre,0.5,3444,1
hrishiilit,0.902,2233,1
hrushikeshpawar,0.853,2546,1
hsiaosuan,0.927,1669,1
hsynkskn,0.948,252,1
ht5brer,0.928,1618,1
htaedaaa,0.947,468,1
htakano,0.914,2057,1
htetwinkhant,0.679,3164,1
huali666666,0.855,2535,1
huangcarry25,0.947,644,1
huangshixing,0.949,50,1
huangshunhao,0.949,56,1
huangshuo1592,0.867,2471,1
huangsi1111,0.928,1619,1
huangzhen29,0.947,542,1
huesosinapoganaya,0.926,1751,1
hufewfw6we,0.926,1768,1
hugo567,0.925,1778,1
hugogascon,0.5,3533,1
hugogauvrit,0.742,3034,1
huhuhoho,0.948,297,1
huhuxiaoshen,0.948,241,1
huichengzen,0.944,1070,1
huitingji,0.498,3569,1
hunhqucvit,0.924,1825,1
huosiyuan,0.947,415,1
hurongsheng,0.947,542,1
huxingyu,0.949,91,1
huyang111,0.949,57,1
huyfff,0.925,1793,1
huyhduve,0.853,2548,1
huyhonglo,0.83,2656,1
hvanphucs112,0.948,310,1
hwanghwangseoyeon,0.944,1059,1
hwanython,0.844,2582,1
hweowe,0.943,1192,1
hy00yh,0.924,1843,1
hyh273279,0.95,47,1
hylexi,0.947,589,1
hyndavimovva,0.94,1332,1
hynoph,0.795,2826,1
hyperboliccurve,0.778,2890,1
hyperneonbyte,0.926,1721,1
i2nfinit3y,0.948,389,1
iamchaos666,0.923,1878,1
iamnotindangerskyler,0.942,1224,1
ianchute,0.924,1846,1
iankahn,0.826,2673,1
ianwulalala,0.911,2101,1
ibnfikr,0.927,1710,1
ibrahimqasimi,0.948,215,1
icewilliam,0.944,949,1
ichigoe,0.801,2806,1
icoguser,0.868,2466,1
idantsrivastava,0.882,2401,1
idcode,0.946,821,1
idrissamdicko,0.947,430,1
ifeadewumi,0.947,439,1
igarashimm,0.93,1460,1
igorjovanovic,0.912,2080,1
igormerlinicomposer,0.857,2527,1
igshchukin,0.92,1959,1
ihabkaggle,0.507,3361,1
ihiratch,0.92,1962,1
ikkimasuta,0.944,958,1
ilanwang,0.948,363,1
illimarkirss,0.795,2827,1
illya2412,0.5,3501,1
ilop0624,0.949,61,1
ilovearsenal,0.926,1729,1
ilyababichev,0.901,2254,1
ilyassmoummad,0.895,2309,1
ilyausmanov,0.894,2318,1
imaadmahmood,0.946,782,1
imadhadda,0.69,3145,1
imadhavan,0.706,3118,1
imagimaniac,0.504,3367,1
imai0320,0.884,2389,1
imainjob,0.946,833,1
imeintanis,0.844,2587,1
imronrsya,0.903,2231,1
imvetri0,0.5,3444,1
inarin18,0.772,2915,1
incognitotemporary,0.916,2026,1
indahnuruljanah,0.905,2205,1
indrapurwanto01,0.685,3155,1
ineedyou2005,0.851,2555,1
infinityang,0.924,1847,1
infraredfall,0.838,2621,1
ingevangastel,0.941,1312,1
innerf1re,0.943,1095,1
innovaa,0.949,101,1
insmartin,0.653,3197,1
insuperabile,0.843,2594,1
interneuron,0.928,1625,1
invertedrepeat,0.782,2874,1
ioannissalevourakis,0.944,945,1
ireneperdomobolaos,0.725,3069,1
irinafayzrakhmanova,0.792,2837,1
isaacjinyu,0.5,3484,1
isakatsuyoshi,0.943,1087,1
isamobagaming,0.925,1808,1
isamuisozaki,0.921,1946,1
ishanbojja,0.942,1218,1
ishasarvani,0.882,2401,1
ishrakarahin,0.923,1862,1
ishtyy,0.949,82,1
islamalaaeddin,0.862,2498,1
ismail89,0.79,2843,1
ismoilmirzoinoyatov,0.943,1125,1
ispagiytiy,0.946,740,1
ispromashka,0.947,627,1
issactai,0.93,1486,1
istatieh,0.928,1604,1
isthereanycode,0.924,1861,1
istiakahmmedrifti,0.907,2177,1
isy640,0.948,265,1
itasps,0.926,1765,1
itomas,0.846,2570,1
itshyao,0.948,385,1
itspooza,0.502,3378,1
itssrub,0.699,3129,1
itsuki89,0.918,2000,1
itsuki9180,0.938,1353,1
itwastony,0.923,1883,1
itzzomkar,0.947,471,1
ivan070708,0.922,1913,1
ivansabev,0.881,2403,1
jacekpoplawski,0.894,2319,1
jack1233,0.5,3424,1
jackcerion,0.943,1183,1
jackelysia,0.948,167,1
jacketheredge,0.946,854,1
jackgptboy,0.946,827,1
jackhog,0.926,1718,1
jackieyang314,0.927,1698,1
jackpudding,0.947,646,1
jacksonlab,0.922,1909,1
jacksonsm,0.522,3329,1
jackvd,0.954,14,1
jackylw,0.947,639,1
jaclyndeem,0.931,1440,1
jacobokotho,0.5,3488,1
jacobyjaeger,0.904,2227,1
jacqueszhelinzhang,0.825,2704,1
jademonk,0.926,1761,1
jaderlugon,0.943,1077,1
jaejohn,0.943,1171,1
jaeminkang2021,0.909,2137,1
jahaziel,0.912,2077,1
jakkma,0.943,1116,1
jakobhanson,0.944,987,1
jalalj,0.946,779,1
jallll123,0.948,169,1
jamalsaeedi,0.946,852,1
jamboreebnbu,0.947,438,1
jamesjklin,0.948,249,1
jamesliebel,0.718,3094,1
jamesmugabo,0.5,3439,1
jamieshannon121998,0.718,3092,1
jands085,0.947,659,1
janezek,0.901,2255,1
janhuus,0.898,2290,1
jannisbuecking,0.874,2435,1
janpolobradorflaquer,0.805,2790,1
jaredchang,0.946,812,1
jarijarvinen,0.913,2068,1
jarturo,0.948,317,1
jarvis2026,0.853,2543,1
jashsurendra,0.946,764,1
jasirdeen,0.949,109,1
jaslee2,0.908,2148,1
jasonkarpeles,0.498,3559,1
jasonkasdiran,0.905,2207,1
jasonzhang2022,0.922,1917,1
jaycent19,0.93,1461,1
jaydenszeto123,0.89,2355,1
jaylynyang,0.947,431,1
jayprajapati02,0.834,2645,1
jaytwo,0.897,2302,1
jcchang1,0.845,2578,1
jcgweb,0.934,1396,1
jchowell,0.91,2133,1
jeanfranoisdavid,0.841,2606,1
jeanjean111,0.948,331,1
jedaiahredden1,0.876,2427,1
jeevaneshwarang,0.929,1537,1
jefffosteruk,0.917,2006,1
jek1wantaufik,0.948,287,1
jekojekojeko,0.816,2739,1
jennaleighwest,0.5,3472,1
jennifer2001,0.928,1571,1
jensen01,0.872,2444,1
jeremyh43,0.925,1780,1
jerrydong05,0.948,149,1
jesperjayaswal,0.898,2289,1
jessezzy,0.952,23,1
jezzlin,0.927,1669,1
jgwancho,0.949,61,1
jhjlog,0.947,440,1
jiachen2003,0.928,1630,1
jiahaopengx,0.825,2684,1
jiajingzhang489,0.947,498,1
jiajunwangworking,0.947,622,1
jialelinwestlake,0.923,1868,1
jialiangqiu,0.943,1114,1
jiamingzhou230612,0.946,882,1
jiangdansun,0.946,860,1
jiangjixiang,0.927,1674,1
jianuoshi,0.949,60,1
jianyicai,0.948,393,1
jiaoyouzhang,0.952,23,1
jibraanirfan,0.779,2888,1
jidaobu,0.943,1168,1
jiheyi,0.5,3429,1
jili1731,0.5,3520,1
jinbotakuya,0.92,1976,1
jinchengzhang1,0.948,379,1
jinghaoshi,0.502,3376,1
jingtian886,0.872,2450,1
jingxizzzzzz,0.865,2485,1
jingxuantian,0.825,2697,1
jinhanghe26,0.704,3121,1
jinxiy1104,0.917,2016,1
jinyichen888,0.928,1611,1
jinyishan,0.948,155,1
jinzixuan,0.946,843,1
jirkaborovec,0.946,899,1
jisu1002,0.949,61,1
jithinai,0.947,518,1
jiweiliu,0.947,436,1
jjbangbang,0.858,2522,1
jjdddsfasf,0.907,2173,1
jjinho,0.946,765,1
jjjjohnson,0.877,2417,1
jjsenku,0.921,1949,1
jmohr91,0.946,717,1
joacaldo7965,0.478,3588,1
joannapasiarska,0.944,1001,1
joaopedrotocantins,0.929,1506,1
jochrisadrian1,0.923,1880,1
joebeachcapital,0.945,922,1
joerabbit,0.525,3321,1
joesphzheong,0.946,896,1
joessattes,0.93,1479,1
joey111mygo,0.912,2096,1
joeyce,0.561,3293,1
joeykaggless,0.821,2726,1
john29277,0.504,3372,1
johnannish2005,0.724,3073,1
johndoe2011,0.946,731,1
johndoe90843,0.927,1705,1
johnhartquist,0.878,2415,1
johnjanson,0.949,132,1
johnlemon3,0.902,2242,1
johnnyhyland,0.909,2138,1
johnprichard,0.805,2792,1
johnsonchishimba,0.946,783,1
johnzed0102,0.839,2616,1
jojizhou,0.948,354,1
jonasgjerris,0.896,2306,1
jonaskreutz,0.927,1684,1
jonathanchan,0.947,442,1
jonblanchard,0.772,2917,1
jonykarki,0.929,1489,1
joonseoeom,0.949,61,1
jordcluitmans,0.854,2537,1
jordonmanuel,0.545,3308,1
joriahmed,0.935,1377,1
josagaciyaj,0.82,2730,1
josephentelisano,0.514,3349,1
josephpurdom,0.749,3008,1
joshangladston,0.585,3274,1
josheren,0.832,2650,1
joshgreen,0.846,2571,1
joshuagigi,0.947,529,1
joshz2,0.828,2665,1
josuevp17,0.738,3042,1
joulskaf,0.941,1277,1
jovanfernandes,0.534,3316,1
jsasnowboarder,0.854,2539,1
jslim7,0.919,1986,1
jsmitharc,0.942,1231,1
jsoels,0.908,2149,1
jt0502,0.825,2701,1
ju4nv1e1r4,0.766,2946,1
juhha1,0.728,3062,1
julesvanligtenberg,0.947,552,1
juliep,0.945,925,1
juliettevanlohuizen,0.927,1662,1
juliocontreras,0.527,3319,1
juliustegar,0.903,2231,1
july7p,0.948,303,1
junaid512,0.924,1832,1
junboo,0.482,3586,1
juncollin,0.921,1931,1
junfreud,0.899,2271,1
jungchanryu,0.945,907,1
junhaochengadjcjh7u7,0.948,346,1
junhaoyi,0.687,3150,1
junichiromorita,0.925,1810,1
junicus,0.946,834,1
junipersky,0.912,2079,1
junma188046,0.894,2316,1
juno0812,0.943,1201,1
junotsuka,0.925,1774,1
junpeimorioka,0.925,1773,1
junseonglee11,0.947,596,1
juntailu,0.947,514,1
juremagomes,0.643,3213,1
jurijsruko,0.924,1853,1
justin2009,0.926,1755,1
justnickhg,0.922,1922,1
juwonkwon,0.943,1075,1
juziwang,0.942,1232,1
jx3977d1231,0.917,2014,1
jysim18,0.747,3023,1
jyunohashimoto,0.946,830,1
jz20113102,0.944,957,1
k256net,0.937,1360,1
k2codes,0.748,3021,1
k33rthanaa,0.944,1062,1
kabilrh,0.946,716,1
kacchanwriting,0.94,1325,1
kadouciabdelhak,0.925,1817,1
kagger3,0.946,778,1
kaggito,0.929,1522,1
kagglewangyufei,0.946,891,1
kaghuvahan6181,0.944,945,1
kagisolebang,0.892,2334,1
kahofu,0.5,3427,1
kaiikeda,0.947,611,1
kailatha,0.759,2978,1
kailyn2359,0.506,3364,1
kainsama,0.932,1431,1
kairuiwen2026,0.801,2805,1
kairyota,0.941,1304,1
kaisalty,0.926,1737,1
kaito030412,0.767,2942,1
kaiwalyapatwardhan,0.777,2894,1
kaiwind,0.943,1134,1
kaizocoolworld,0.944,1066,1
kakuteki,0.838,2625,1
kalashtiwari,0.831,2653,1
kalyankkr,0.948,267,1
kalypheus,0.949,106,1
kami1976,0.933,1417,1
kamilkisiel,0.765,2956,1
kamonabeyy,0.904,2225,1
kamongi,0.944,1002,1
kanarienet,0.926,1720,1
kanbehmw,0.928,1603,1
kanchana1990,0.942,1266,1
kantasaito,0.833,2646,1
kaori02,0.5,3444,1
kapenon,0.937,1357,1
kapilreddys,0.932,1429,1
karansinghbisht,0.948,367,1
karantej,0.898,2291,1
karensmjones,0.924,1857,1
karg14,0.943,1123,1
karinashusband,0.947,507,1
karnakbaevarthur,0.948,147,1
karthikdulam0,0.915,2048,1
kartikcoder75,0.947,606,1
kartikgarg74,0.938,1355,1
kartiknhm,0.928,1559,1
kartiksoni15,0.946,770,1
kartushovdanil,0.948,381,1
karunru,0.9,2263,1
kashiwaba,0.936,1366,1
katads,0.904,2222,1
katasonoveugene,0.875,2431,1
katayamaharuki,0.928,1615,1
kathy809,0.947,443,1
katie090902,0.895,2311,1
katoyui,0.944,946,1
katsaxton,0.752,2999,1
katze27,0.791,2838,1
kaushalborude,0.916,2026,1
kaviscakurup,0.941,1275,1
kavvyom,0.757,2987,1
kavyabhand,0.947,524,1
kawano,0.85,2558,1
kawayujp,0.826,2671,1
kawshikrudra,0.922,1926,1
kayishilmifarih,0.915,2040,1
kaz828,0.944,1056,1
kazeneko77,0.943,1172,1
kazu0202,0.89,2346,1
kazu1998,0.934,1393,1
kazuhirokuriyama,0.922,1906,1
kazuhiromasuyama,0.948,271,1
kazukiharada85,0.948,307,1
kazukimorikawa,0.927,1680,1
kazukishimizu0427,0.869,2463,1
kazumaidentity,0.928,1641,1
kazumax0720,0.927,1690,1
kazuow,0.706,3120,1
kazuyahibara,0.835,2641,1
kbhdsm,0.608,3251,1
kbkknbjknkjj,0.5,3494,1
kbysh02,0.886,2381,1
