users,best_score,best_rank,n_teams
alsingwhitewater,0.899,2270,1
altabbt,0.926,1733,1
alturutin,0.956,8,1
alvanli,0.724,3071,1
alvinsun071228,0.946,813,1
alwintheodoric,0.922,1925,1
alwinvandeneyssel,0.899,2284,1
alysonn,0.942,1245,1
aman1391,0.951,31,1
aman201603434132afds,0.523,3326,1
amanatar,0.948,306,1
amandeva123,0.709,3112,1
amber1982,0.948,185,1
ameliaxyz,0.72,3083,1
ameythakur20,0.947,564,1
aminakassimmohamed,0.753,2995,1
aminemalek,0.948,384,1
aminmahmoudalifayed,0.5,3400,1
aminsabbah,0.835,2639,1
amirmhm,0.622,3234,1
amitaharoni,0.94,1334,1
amiwls,0.946,734,1
amlear,0.93,1467,1
amolwani2,0.695,3137,1
amosokello451,0.947,481,1
amrit110,0.907,2187,1
amritanshukush,0.493,3575,1
amrkhaledelkhamisy,0.574,3285,1
amulopapa67,0.948,359,1
anaconda,0.947,435,1
anacullen,0.947,547,1
analeopold,0.944,1000,1
analyticalabsurdist,0.58,3279,1
analyticaobscura,0.948,215,1
anandabehera,0.866,2483,1
anankkk05,0.92,1969,1
anatoly7m,0.943,1152,1
anazemcev,0.948,213,1
ancientluck,0.947,500,1
andelizabeth,0.944,1024,1
andnov,0.947,620,1
andradadimitriu,0.616,3240,1
andreabonomi,0.678,3167,1
andreaschandra,0.879,2408,1
andreaschignola,0.58,3280,1
andreasniemann,0.891,2340,1
andrejcarpenter,0.905,2216,1
andres137,0.5,3413,1
andreson1010,0.761,2972,1
andrewlee23023,0.947,592,1
andrewmatte,0.868,2469,1
andrewsokolovsky,0.818,2735,1
andrey4522,0.907,2186,1
andreylolobrigida,0.901,2256,1
andriichaliuk,0.7,3126,1
andronhl,0.932,1425,1
andtem2000,0.946,832,1
andybelle,0.948,194,1
andycooper747,0.948,273,1
aneeshmourya,0.945,916,1
aneeshvarmar,0.945,934,1
anestispantazis,0.941,1312,1
anglolodorf,0.949,87,1
anhhkhoi,0.925,1807,1
anhkhitrnnn,0.928,1583,1
anhkhoaonnguyn,0.947,615,1
anhlquctrn,0.908,2164,1
anidiptapal,0.907,2179,1
anjanamohan13,0.949,114,1
anjanmahapatra007,0.949,112,1
ankitdata1,0.771,2921,1
ankitkuniyal,0.947,630,1
ankumakaggle,0.923,1886,1
anmatngu,0.857,2525,1
anmoltwickley,0.5,3551,1
annadjt,0.947,443,1
annan09,0.926,1745,1
anngle,0.872,2446,1
annsnow,0.949,136,1
annurana1,0.5,3512,1
anoopproto,0.77,2929,1
anpanmen,0.946,873,1
anryisreal,0.908,2156,1
anshuls235,0.838,2627,1
anthiendinh,0.908,2165,1
anthonybreeganzot,0.86,2508,1
anthonymuriungi,0.548,3302,1
anthonyrd543,0.5,3536,1
anthonysusevski,0.748,3018,1
anthonytherrien,0.948,257,1
antifreeze5420,0.543,3311,1
antoinemasq,0.948,274,1
antonkhnykin,0.685,3156,1
antonnordstrom,0.944,987,1
antonoof,0.946,749,1
anushkrishna,0.928,1581,1
anwayab,0.945,934,1
aodebiao666,0.525,3323,1
aonmcd,0.872,2440,1
aorhan,0.908,2147,1
aotaku25,0.944,1056,1
apachikoff,0.595,3265,1
aparnamakkina,0.814,2751,1
aparnasadh,0.5,3548,1
apdallaheltahan,0.753,2996,1
aphrodite874,0.929,1527,1
apocalypse2021,0.924,1828,1
apoorvtyagi05,0.922,1912,1
applevl,0.923,1890,1
appreciatekaggle34,0.946,813,1
apratimbajpai,0.93,1485,1
apteanand,0.648,3203,1
aqes2003,0.913,2071,1
aquilar7,0.787,2864,1
araf03,0.5,3419,1
arakish,0.948,357,1
arc144,0.947,436,1
arcardoso,0.5,3478,1
archexistence,0.941,1297,1
archie40004,0.767,2937,1
architkonde,0.948,276,1
ardaorcun,0.5,3434,1
arecserggmailcom,0.812,2764,1
aresfishy,0.775,2902,1
areslan,0.944,1019,1
argon1215,0.947,456,1
ariadneannetsambali,0.919,1987,1
ariafschneider,0.944,955,1
aribtaufiqurrohman,0.676,3170,1
arielhsieh1,0.845,2578,1
arimarkowitz,0.871,2453,1
aristophanivan,0.91,2120,1
aristotlechen,0.948,320,1
ariwori,0.624,3231,1
arjunraghav97,0.762,2964,1
ark911,0.948,333,1
arnaudchampetier,0.901,2247,1
arnavak03,0.928,1644,1
arnavsalkade,0.743,3032,1
arnoutve,0.943,1166,1
aromani,0.944,943,1
aronawehipeihana,0.5,3545,1
arrosw,0.948,351,1
arsalanhashmi7,0.943,1175,1
artalmaz31,0.947,505,1
artemevstafyev,0.948,281,1
artemgoncarov,0.928,1613,1
artemnazemtsev,0.944,1020,1
artemtokarchuk,0.641,3217,1
arthuri,0.944,1012,1
artsmirnovch,0.855,2534,1
arturgluba,0.854,2538,1
arturkhodakovskiy,0.84,2610,1
arun8ovfjfdr6,0.947,413,1
arunesh819,0.944,987,1
arunklenin,0.947,427,1
arunodhayan,0.956,11,1
aryamankusurkar,0.924,1831,1
aryamehta26,0.943,1142,1
aryangautambe23b025,0.922,1911,1
asalhi,0.947,520,1
asdfghasdf,0.948,316,1
asfdzjvcnz,0.934,1394,1
ashad8949,0.928,1558,1
ashelar94,0.5,3546,1
ashishkuru,0.74,3036,1
ashok205,0.949,109,1
ashrafmahmud255,0.5,3389,1
ashsihkumar,0.928,1617,1
ashutosh0499,0.5,3428,1
askboxnet,0.925,1788,1
asmithneo,0.942,1223,1
asrnylmaz,0.926,1743,1
assyifahaqqi,0.737,3046,1
asteroid6,0.895,2309,1
astitvaag2005,0.872,2451,1
astrolan,0.943,1078,1
asymortenson,0.943,1165,1
ataefememetolu,0.942,1258,1
atahalam,0.916,2030,1
atamazian,0.93,1474,1
ataraxyyeah,0.949,110,1
atharvashelke,0.944,1022,1
atharvav75,0.853,2544,1
athiqotuzzulaiva,0.737,3046,1
athuljenson,0.5,3530,1
atique0528,0.74,3037,1
atirian,0.765,2950,1
atkaggler,0.922,1900,1
atom0190,0.91,2113,1
atomstack001,0.771,2923,1
atpenumatcha,0.501,3383,1
atsushimatsumura,0.778,2892,1
attiounarcisse,0.738,3040,1
attiqueansari,0.912,2078,1
aum2107,0.607,3255,1
austin27,0.851,2555,1
austindengkaggle,0.948,273,1
automatylicza,0.95,38,1
autumnhong,0.91,2124,1
avahancn,0.946,738,1
avasgaire,0.872,2447,1
aventurinee,0.941,1308,1
avikdas567,0.592,3268,1
avipathak99,0.927,1661,1
avyukth1c,0.895,2311,1
awarse,0.942,1261,1
axchi77,0.932,1434,1
axiology,0.658,3188,1
ayaansanadi123,0.5,3448,1
ayeshashafaqat,0.924,1859,1
ayhmakramdalila,0.948,323,1
aylavu,0.943,1138,1
