ref,title,author,lastRunTime,totalVotes,author_user,users,best_score,best_rank,n_teams,features_v2__slug,features_v2__filename,features_v2__n_cells,features_v2__n_code_cells,features_v2__n_md_cells,features_v2__n_md_chars,features_v2__n_code_chars,features_v2__first_md,features_v2__config_lb_max,features_v2__config_lb_list,features_v2__n_config_lb,features_v2__lb_prefix_max,features_v2__n_lb_prefix,features_v2__bare_score_max,features_v2__bare_score_min,features_v2__n_bare_scores,features_v2__best_score,features_v2__feat__uses_perch,features_v2__feat__uses_perch_v2,features_v2__feat__uses_birdnet,features_v2__feat__uses_sed,features_v2__feat__uses_protossm,features_v2__feat__uses_residual_ssm,features_v2__feat__uses_efficientnet,features_v2__feat__uses_hgnet,features_v2__feat__uses_convnext,features_v2__feat__uses_resnet,features_v2__feat__uses_passt,features_v2__feat__uses_beats,features_v2__feat__uses_mae,features_v2__feat__uses_tucker,features_v2__feat__uses_mlp_probes,features_v2__feat__uses_train_audio,features_v2__feat__aug_mixup,features_v2__feat__aug_cutmix,features_v2__feat__aug_specaugment,features_v2__feat__aug_time_shift,features_v2__feat__aug_flip,features_v2__feat__aug_clipping,features_v2__feat__aug_gain,features_v2__feat__loss_focal,features_v2__feat__loss_bce,features_v2__feat__loss_softauc,features_v2__feat__ssl_pseudo,features_v2__feat__ssl_iterative,features_v2__feat__tweak_A_per_class,features_v2__feat__tweak_C_residual,features_v2__feat__tweak_D_hour_smooth,features_v2__feat__tweak_E_wide_mlp,features_v2__feat__tweak_F_flip_tta,features_v2__feat__tweak_G_birdnet_weight,features_v2__feat__sonotype_mirror,features_v2__feat__site_hour_prior,features_v2__feat__rank_aware,features_v2__feat__file_confidence,features_v2__feat__adaptive_delta,features_v2__feat__uses_onnx,features_v2__feat__uses_torch,features_v2__feat__uses_tf,features_v2__feat__val_groupkfold,features_v2__feat__val_stratified,features_v2__feat__ext_data,features_v2__n_fork_refs,features_v2__fork_refs,features_v2__num__n_windows,features_v2__num__window_sec,features_v2__num__rank_power,features_v2__num__n_classes,features_v2__num__lambda_prior,features_v2__num__file_conf_power,features_v2__num__alpha_blend,features_v2__num__correction_weight,features_v2__num__lambda_in_apply_prior,features_v2__num__ensemble_w_mapped,features_v2__title_score,deps__n_inputs,deps__input_slugs,deps__n_notebooks_used,deps__notebooks_used,deps__n_datasets_used,deps__datasets_used,deps__n_models_used,deps__models_used,deps__competitions_used,deps__slug,blends__n_blend_configs,blends__max_n_models,blends__all_models,blends__all_weights,blends__all_lbs,diffs__n_deltas,diffs__deltas_sample,diffs__n_versions_mentioned,diffs__version_scores,diffs__n_score_progresses,diffs__score_progresses_sample
samrakshyanadhikari/fork-of-samrakshyan-birdclef,Fork of Samrakshyan_BIrdclef,Samrakshyan Adhikari,2026-05-06 04:16:15.387000,0,samrakshyanadhikari,samrakshyanadhikari,0.62,3237.0,1.0,samrakshyanadhikari__fork-of-samrakshyan-birdclef,fork-of-samrakshyan-birdclef.ipynb,67.0,48.0,19.0,7963.0,22268.0,"## Data Exploration

Verifying the dataset structure and available files in the competition directory.",,,0.0,,0.0,,,0.0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,1.0,competitions,0.0,,0.0,,0.0,,birdclef-2026,samrakshyanadhikari__fork-of-samrakshyan-birdclef,,,,,,1.0,3=963→0.0648,0.0,,0.0,
ikkimasuta/basenote2-birdclef2026-for-winc,BaseNote2_BirdCLEF2026_for_WINC,ますいち,2026-05-11 11:29:28.417000,7,ikkimasuta,ikkimasuta,0.944,958.0,1.0,ikkimasuta__basenote2-birdclef2026-for-winc,basenote2-birdclef2026-for-winc.ipynb,1.0,1.0,0.0,0.0,7512.0,,,,0.0,,0.0,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,2.0,competitions|models,0.0,,0.0,,1.0,ikkimasuta/20260511-baseline,birdclef-2026,ikkimasuta__basenote2-birdclef2026-for-winc,,,,,,0.0,,0.0,,0.0,
apachikoff/res1den,res1Den,Данил Долгов,2026-04-21 21:13:36.410000,0,apachikoff,apachikoff,0.595,3265.0,1.0,apachikoff__res1den,res1den.ipynb,4.0,4.0,0.0,0.0,5630.0,,,,0.0,,0.0,,,0.0,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,,,,,,,,,,,,,1.0,competitions,0.0,,0.0,,0.0,,birdclef-2026,apachikoff__res1den,,,,,,0.0,,0.0,,0.0,
valentinonguyen/birdclef2026-duc-notebook1-2,birdclef2026_duc_notebook1.2,Duc-Anh Nguyen,2026-03-27 17:21:41.187000,0,valentinonguyen,valentinonguyen,0.594,3266.0,1.0,valentinonguyen__birdclef2026-duc-notebook1-2,birdclef2026-duc-notebook1-2.ipynb,2.0,2.0,0.0,0.0,7283.0,,,,0.0,,0.0,,,0.0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,3.0,birdclef-2026|competitions|datasets,0.0,,1.0,valentinonguyen/bridclef2026-duc-wts4,0.0,,birdclef-2026,valentinonguyen__birdclef2026-duc-notebook1-2,,,,,,0.0,,0.0,,0.0,
avikdas567/birdclef-2026-mel-spectrogram-cnn-soundscapes,BirdCLEF+ 2026 | Mel-Spectrogram CNN + Soundscapes,Avik Das,2026-03-12 07:06:31.037000,21,avikdas567,avikdas567,0.592,3268.0,1.0,avikdas567__birdclef-2026-mel-spectrogram-cnn-soundscapes,birdclef-2026-mel-spectrogram-cnn-soundscapes.ipynb,1.0,1.0,0.0,0.0,6600.0,,,,0.0,,0.0,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,1.0,competitions,0.0,,0.0,,0.0,,birdclef-2026,avikdas567__birdclef-2026-mel-spectrogram-cnn-soundscapes,,,,,,0.0,,0.0,,0.0,
mtoshidesu/birdclef-2026-data-structure-overview-quick,# BirdCLEF 2026 - Data Structure Overview & Quick ,m-toshi desu,2026-04-27 14:50:30.877000,0,mtoshidesu,mtoshidesu,0.948,341.0,1.0,mtoshidesu__birdclef-2026-data-structure-overview-quick,birdclef-2026-data-structure-overview-quick.ipynb,20.0,16.0,4.0,1745.0,33477.0,"# 🎯 BirdCLEF+ 2026 High-Performance Pipeline  
## Perch-based Inference + Label Mapping + Submission Generation

---

# 🧠 Overview

This notebook implements a full end-to-end pipeline for the BirdCLEF+ 2026 competition:
",,,0.0,,0.0,,,0.0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,,1.0,,,,,,,,,,,3.0,bird-vocalization-classifier|competitions|models,0.0,,0.0,,1.0,google/bird-vocalization-classifier,birdclef-2026,mtoshidesu__birdclef-2026-data-structure-overview-quick,,,,,,0.0,,0.0,,0.0,
dedquoc/multi-taxa-inference-perch-v2,Multi-Taxa Inference (Perch v2),dedq,2026-03-17 07:22:07.940000,10,dedquoc,dedquoc,0.825,2692.0,1.0,dedquoc__multi-taxa-inference-perch-v2,multi-taxa-inference-perch-v2.ipynb,5.0,2.0,3.0,2929.0,7271.0,"Reference from: https://www.kaggle.com/code/kdmitrie/birdclef26-google-perch-starter

Advance and improving",,,0.0,,0.0,,,0.0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,kdmitrie/birdclef26-google-perch-starter,,,,,,,,,,,,3.0,competitions|models|notebooks,1.0,kdmitrie/bc26-tensorflow-2-20-0,0.0,,1.0,google/bird-vocalization-classifier,birdclef-2026,dedquoc__multi-taxa-inference-perch-v2,,,,,,0.0,,0.0,,0.0,
pulkitsahu89/birdtransform-transformer-audio-classifier,BirdTransform: Transformer Audio Classifier,Pulkit Sahu,2026-03-21 17:51:52.990000,13,pulkitsahu89,pulkitsahu89,0.561,3294.0,1.0,pulkitsahu89__birdtransform-transformer-audio-classifier,birdtransform-transformer-audio-classifier.ipynb,32.0,20.0,12.0,7047.0,24169.0,"# BirdTransform - BirdCLEF 2026 Using Transformer 🦜
## 📌 Overview
### **🌿 Recognising Species for Biodiversity Monitoring Using Transformers**  

Tropical wetlands are home to diverse and endangered wildlife. The **[Pantanal wetlands of Brazil](https://en.wikipedia.org/wiki/Pantanal)** are one of the largest and most biodiverse wetland ecosystems in the world, providing habitat for hundreds of spe",,,0.0,,0.0,,,0.0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,1.0,pulkitsahu89/birdtransform-pre-trained-model-v1-1,,,,,,,,,,,,3.0,competitions|datasets|models,0.0,,3.0,pulkitsahu89/birdtransform-birdclef-2026-transformer-model|pulkitsahu89/toco-toucan|waterjoe/google-perch-embeddings,1.0,google/bird-vocalization-classifier,birdclef-2026,pulkitsahu89__birdtransform-transformer-audio-classifier,,,,,,0.0,,0.0,,0.0,
niloufarsaririan/notebooke8a467fa5f,notebooke8a467fa5f,Niloufar Saririan,2026-05-15 20:38:42.383000,0,niloufarsaririan,niloufarsaririan,0.561,3292.0,1.0,niloufarsaririan__notebooke8a467fa5f,notebooke8a467fa5f.ipynb,1.0,1.0,0.0,0.0,19864.0,,,,0.0,,0.0,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,3.0,birdclef-2026|competitions|datasets,0.0,,1.0,niloufarsaririan/birdclef-ensemble-multiscale,0.0,,birdclef-2026,niloufarsaririan__notebooke8a467fa5f,,,,,,0.0,,0.0,,0.0,
novaeniru/pengenalan-pola-data-oddities,Pengenalan Pola - Data Oddities,Dary Ihsan Amanullah,2026-04-01 14:28:18.847000,3,novaeniru,novaeniru,0.559,3295.0,1.0,novaeniru__pengenalan-pola-data-oddities,pengenalan-pola-data-oddities.ipynb,5.0,5.0,0.0,0.0,8443.0,,,,0.0,,0.0,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,,,,,,,,,,,,,1.0,competitions,0.0,,0.0,,0.0,,birdclef-2026,novaeniru__pengenalan-pola-data-oddities,,,,,,0.0,,0.0,,0.0,
