,0,1,2,3,4,6,7,18,19,20,21,22,23
alexander_b0,0.7670461448791559,0.6690656122334104,0.6917028979302514,0.835303238154893,0.4986767444900137,0.530160010564022,0.9133684256443634,0.5424675324675323,0.5184424626026398,0.5113530157737475,0.602688488203129,0.7488271583574135,0.5878296641299158
baiyuby_v2s_max,0.5454552978960283,0.46371911257477966,0.4919381054659792,0.43347712532848465,0.47601717933152,0.47394975358364483,0.6333525949482695,0.6028282828282829,0.4084388409017706,0.4886619527435076,0.5497700919519982,0.43051632460482825,0.5368353103939514
baiyuby_v2s_att,0.39527633323299144,0.527049792568506,0.5711617962172294,0.4696013199817869,0.6374696429599758,0.46962463197630183,0.42618325506002036,0.6322222222222222,0.5915057631893427,0.5496953621318459,0.48363438957190164,0.3260908743822579,0.48198994322359495
long_convnextv2,0.7172122368691151,0.6233835199436113,0.5863606274795151,0.685941551115901,0.5154780018117817,0.5081599096705504,0.6420956276954901,0.573015873015873,0.5035275316145417,0.4369120065702892,0.5731679979064875,0.7349637364130792,0.7683486719342395
mauricio_b0_scratch,0.7865206381202433,0.641245352870635,0.6798178213886827,0.8921274969886083,0.7085461761765717,0.4972870873155353,0.9754291574187454,0.597936507936508,0.36957385681355215,0.4626460660124278,0.5668579209217246,0.7108823756488784,0.5849539558622251
snowflake_convnext,0.6522226898487236,0.5309989456127047,0.6440509852389785,0.7290672924833681,0.5632733349773646,0.5407537899140543,0.47710506718933704,0.5971572871572871,0.5569998192860948,0.6464043051949555,0.5225717421493463,0.6136083957923951,0.569084002595261
snowflake_efnetv2m,0.644373078159506,0.6098228534053431,0.7168676567846831,0.7192568683888129,0.6112539865729114,0.4614466302599136,0.49976520400440744,0.7591053391053391,0.5628019625204912,0.5873321992859594,0.4964750712760403,0.6603575043696552,0.5792620907208927
pseudo_hour_prior,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
labeled_hour_prior,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
